fraction remaining,fraction lost,time (Myr),log10mantle ST,34R,d34 mantle,34R space,d34 space,34R space total,d34 space total,33R,d33 mantle,33R space,d33 space,33R space total,d33 space total,36R,d36 mantle,36R space,d36 space,36R space total,d36 space total,D33 mantle,D33S space,D33S total space,D36 mantle,D36 space,D36 total space,log10space
0.66,0.34,1.57E+03,21.73399581,0.045715638,35.1666269,0.04191303,-50.93811286,0.041149413,-68.22914586,0.008017766,17.83938187,0.007676573,-25.47444928,0.0076046,-34.61129601,0.000164014,68.54922319,0.000137843,-101.9541948,0.000133078,-132.9982663,-0.271430989,0.758678845,0.526714112,1.73263208,-5.171780394,-3.362889186,21.44593079
0.65,0.35,1.62E+03,21.72736523,0.045773731,36.4820637,0.041966291,-49.73209356,0.041172104,-67.71533886,0.008022977,18.50088944,0.007681562,-24.84109195,0.007606737,-34.33990145,0.000164414,71.1555528,0.000138179,-99.76374508,0.000133219,-132.0750852,-0.287373364,0.770936237,0.53349806,1.839631766,-5.272767325,-3.415941357,21.45851992
0.64,0.36,1.66E+03,21.72063185,0.045832801,37.81960636,0.042020447,-48.50580715,0.041195032,-67.19616232,0.008028272,19.17309334,0.007686632,-24.19749348,0.007608897,-34.06578232,0.000164821,73.8087981,0.000138521,-97.53386577,0.000133363,-131.1415387,-0.304003942,0.782997208,0.54024128,1.951546009,-5.372832179,-3.468830298,21.47075438
0.63,0.37,1.71E+03,21.71379243,0.045892878,39.1799806,0.042075527,-47.25858829,0.041218203,-66.67148932,0.008033654,19.85633774,0.007691785,-23.54332432,0.007611078,-33.78887553,0.000165236,76.51055673,0.00013887,-95.26321417,0.000133508,-130.1973723,-0.321352274,0.794848647,0.546941474,2.068593583,-5.471896418,-3.521542564,21.4826536
0.62,0.38,1.75E+03,21.70684357,0.045953998,40.56394797,0.042131563,-45.98973877,0.041241623,-66.14118803,0.008039126,20.55098361,0.007697024,-22.87823889,0.007613282,-33.50911561,0.000165658,79.2625072,0.000139225,-92.9503796,0.000133654,-129.2423212,-0.339449598,0.806476578,0.55359622,2.191006063,-5.569875943,-3.574063933,21.49423547
0.61,0.39,1.80E+03,21.69978171,0.046016195,41.97230822,0.042188586,-44.69852535,0.041265297,-65.60512146,0.008044691,21.25740977,0.007702352,-22.20187447,0.007615508,-33.22643458,0.000166088,82.0664144,0.000139587,-90.59387881,0.000133803,-128.2761101,-0.358328966,0.817866089,0.560202967,2.319028788,-5.666680634,-3.626379351,21.50551648
0.6,0.4,1.85E+03,21.69260313,0.046079506,43.40590189,0.042246631,-43.38417742,0.041289232,-65.06314721,0.008050351,21.9760141,0.007707771,-21.51385011,0.007617759,-32.94076179,0.000166527,84.92413549,0.000139955,-88.19215095,0.000133953,-127.2984526,-0.378025375,0.829001258,0.566759023,2.452921891,-5.762213857,-3.678472875,21.51651187
0.59,0.41,1.89E+03,21.68530389,0.046143971,44.86561313,0.042305734,-42.04588437,0.041313434,-64.51511715,0.008056111,22.70721485,0.007713286,-20.81376538,0.007620033,-32.65202378,0.000166974,87.8376264,0.000140331,-85.7435522,0.000134105,-126.3090502,-0.398575915,0.839865069,0.573261548,2.592961448,-5.856371904,-3.730327614,21.52723573
0.58,0.42,1.94E+03,21.67787987,0.04620963,46.3523727,0.042365932,-40.68279285,0.041337911,-63.96087705,0.008061974,23.45145201,0.007718899,-20.101199,0.007622332,-32.36014414,0.00016743,90.80894886,0.000140714,-83.24634982,0.000134258,-125.307592,-0.420019933,0.850439325,0.579707542,2.739440721,-5.949043394,-3.781925655,21.53770117
0.57,0.43,1.98E+03,21.67032673,0.046276527,47.86716132,0.042427264,-39.29400374,0.041362669,-63.40026629,0.008067943,24.20918888,0.007724614,-19.37570738,0.007624657,-32.0650433,0.000167896,93.84027803,0.000141105,-80.6987157,0.000134414,-124.2937539,-0.442399205,0.860704546,0.586093838,2.892671525,-6.040108601,-3.833247995,21.54792033
